date,symbol,close
2023-09-27T00:00,BNB,213.10000000
2023-09-27T00:00,BTC,26278.04000000
2023-09-27T00:00,ETH,1595.74000000
2023-09-27T00:00,SOL,19.03000000
2023-09-27T00:00,XRP,0.50310000
2023-09-27T04:00,BNB,213.20000000
2023-09-27T04:00,BTC,26246.34000000
2023-09-27T04:00,ETH,1592.47000000
2023-09-27T04:00,SOL,18.95000000
2023-09-27T04:00,XRP,0.49980000
2023-09-27T08:00,BNB,215.40000000
2023-09-27T08:00,BTC,26766.70000000
2023-09-27T08:00,ETH,1629.64000000
2023-09-27T08:00,SOL,19.39000000
2023-09-27T08:00,XRP,0.50640000
2023-09-27T12:00,BNB,212.40000000
2023-09-27T12:00,BTC,26304.42000000
2023-09-27T12:00,ETH,1601.63000000
2023-09-27T12:00,SOL,18.95000000
2023-09-27T12:00,XRP,0.50160000
2023-09-27T16:00,BNB,211.60000000
2023-09-27T16:00,BTC,26267.80000000
2023-09-27T16:00,ETH,1597.67000000
2023-09-27T16:00,SOL,18.98000000
2023-09-27T16:00,XRP,0.50430000
2023-09-27T20:00,BNB,212.00000000
2023-09-27T20:00,BTC,26372.99000000
2023-09-27T20:00,ETH,1598.64000000
2023-09-27T20:00,SOL,19.14000000
2023-09-27T20:00,XRP,0.49930000
2023-09-28T00:00,BNB,212.10000000
2023-09-28T00:00,BTC,26379.15000000
2023-09-28T00:00,ETH,1606.35000000
2023-09-28T00:00,SOL,19.21000000
2023-09-28T00:00,XRP,0.49790000
2023-09-28T04:00,BNB,213.10000000
2023-09-28T04:00,BTC,26459.99000000
2023-09-28T04:00,ETH,1619.35000000
2023-09-28T04:00,SOL,19.22000000
2023-09-28T04:00,XRP,0.49740000
2023-09-28T08:00,BNB,213.60000000
2023-09-28T08:00,BTC,26476.93000000
2023-09-28T08:00,ETH,1623.70000000
2023-09-28T08:00,SOL,19.17000000
2023-09-28T08:00,XRP,0.50170000
2023-09-28T12:00,BNB,215.60000000
2023-09-28T12:00,BTC,27020.00000000
2023-09-28T12:00,ETH,1652.58000000
2023-09-28T12:00,SOL,19.59000000
2023-09-28T12:00,XRP,0.50500000
2023-09-28T16:00,BNB,215.30000000
2023-09-28T16:00,BTC,27100.00000000
2023-09-28T16:00,ETH,1658.30000000
2023-09-28T16:00,SOL,19.71000000
2023-09-28T16:00,XRP,0.50770000
2023-09-28T20:00,BNB,215.00000000
2023-09-28T20:00,BTC,27021.39000000
2023-09-28T20:00,ETH,1652.99000000
2023-09-28T20:00,SOL,19.96000000
2023-09-28T20:00,XRP,0.50980000
2023-09-29T00:00,BNB,214.80000000
2023-09-29T00:00,BTC,26957.99000000
2023-09-29T00:00,ETH,1651.62000000
2023-09-29T00:00,SOL,20.20000000
2023-09-29T00:00,XRP,0.50940000
2023-09-29T04:00,BNB,216.90000000
